,episode_rewards,episode_lengths
891,-96.65305521369453,183
892,-106.72163909633421,249
893,-90.93278537926412,306
894,-88.69543475212454,348
895,-165.10224428144502,102
896,-124.5518974705395,208
897,-153.71035648591638,109
898,-147.32757796814218,171
899,-182.87481455430773,79
900,-173.5037951555988,92
901,-117.72848514185334,273
902,-98.1393480737368,277
903,-117.73496621029399,178
904,-159.1937765646585,128
905,-125.72360290572387,228
906,-174.1335381280523,86
907,-178.85784187813587,62
908,-175.75181955360483,99
909,-156.58678822320223,111
910,-167.14107411648246,57
911,-157.97018352939529,178
912,-100.25973924790782,236
913,-151.90438386169302,355
914,-171.96910513233934,78
915,-176.65599865083865,47
916,-79.14488928865075,324
917,-182.62722681048385,43
918,-160.2095849864057,126
919,-169.80166155412553,132
920,-172.44677066894508,79
921,-141.4856457711487,141
922,-152.38039750990436,148
923,-145.88377646722844,263
924,-169.9757948752665,65
925,-166.0709071378231,109
926,-171.0032174429243,79
927,-174.35402143319786,87
928,-156.00253367603517,108
929,-174.28505582007273,100
930,-170.00407106347456,64
931,-107.90574580111803,340
932,-114.77823726337844,171
933,-149.08697952406638,136
934,-152.5942386566599,260
935,-116.61993024420808,214
936,-194.22318021693997,19
937,-193.9743973764007,18
938,-194.7689823932234,19
939,-193.74892383781395,17
940,-194.90799055589707,19
941,-195.43445033921,20
942,-186.10752032512877,21
943,-179.56339726241941,55
944,-161.27353000204502,77
945,-145.10946681336364,131
946,-171.65381189921612,81
947,-72.00738432945018,400
948,-197.1211226499571,31
949,-187.8343545393753,64
950,-151.02713035012908,98
951,-165.92604376572632,99
952,-154.1161673601634,144
953,-166.0710033848099,54
954,-160.36108291333338,137
955,-139.4782752034622,228
956,-94.51081565263377,266
957,-117.89423541690425,222
958,63.31678868093326,491
959,-106.29104202788076,355
960,-106.26597544892402,297
961,-184.83567670735772,39
962,-194.775806107819,20
963,-194.62319562527523,19
964,-194.3224395378386,19
965,-195.23563337066392,21
966,-193.96278069772467,18
967,-193.96290138162817,18
968,-193.98547917953266,18
969,-194.74355255642314,19
970,-193.5172728497325,16
971,-195.0167124585593,19
972,-194.179559407128,18
973,-193.5895352591048,16
974,-195.0999485007783,21
975,-194.00940994866127,18
976,-194.32428761177567,19
977,-195.67881868457346,20
978,-86.19867346546503,463
979,-188.61221232370823,37
980,-190.90836499004078,103
981,-161.03967785270694,160
982,-189.0579256215125,60
983,-195.6767489380728,22
984,-195.88577658689042,23
985,234.04654807993336,1079
986,-96.59082079849193,556
987,-169.01432747122482,75
988,-171.7864162126155,83
989,-145.07523165488985,235
990,-60.9141798636029,459
991,-164.5305603236847,81
992,-187.49333134795373,25
993,-195.20322015191832,21
994,-186.93190657159167,28
995,-185.98279786078925,22
996,-188.84572122617266,32
997,-171.9533615254675,73
998,-172.6900188996041,83
999,-140.65016787334494,178
1000,-180.76343299226028,76
1001,-163.7642840625125,125
1002,-171.32243417383663,74
1003,-156.47071186470544,157
1004,-177.50268294101275,29
1005,-165.813037383254,102
1006,-94.78506796666996,225
1007,-169.20020861135873,90
1008,51.94549497264555,774
1009,-23.816436405518687,371
1010,-126.16717005092866,140
1011,-175.52803608165897,72
1012,-157.4375162233228,309
1013,-150.30714519472465,85
1014,-191.72569570466325,69
1015,-179.1189813241419,112
1016,-106.24151244541208,738
1017,-111.24408606143223,359
1018,421.919460177221,1671
1019,-86.51172791400658,513
1020,-176.14096260478573,52
1021,-190.18806859762753,42
1022,-163.33606632097795,91
1023,-182.3334095145002,79
1024,-172.41126968870765,46
1025,-167.50890735297438,60
1026,-164.3245146931161,100
1027,-161.96820497445788,77
1028,-181.05136971928806,124
1029,-169.47885081307646,60
1030,-185.96795253701524,26
1031,-197.20525333520624,27
1032,-187.92958244975756,27
1033,-188.72514919688163,31
1034,-164.78475499030168,65
1035,-184.96966769495796,52
1036,-180.84554898957686,70
1037,-170.08280355480696,65
1038,-172.3371716976971,79
1039,-184.3353287048285,20
1040,-184.72810199150842,88
1041,-156.19164120484092,109
1042,-161.75806623253655,76
1043,-105.68713935727794,227
