episode,avg_reward,avg_v,episode_time,distance_traveled
302,0.5075776160619547,3.2072682,30.019,5.444462776184082
303,-5.148374653177411,2.2223551,30.084,1.4210854715202004e-14
304,-3.0684449922503894,3.8894403,30.16,1.146275050789916e-13
305,-3.5974186198618954,2.2837036,30.341,5.684341886080802e-14
306,-5.110544111784746,3.0915165,30.413,5.897993087768555
307,-24.544693150493543,1.8412571,30.454,41.472816467285156
308,-12.159120278478444,3.066464,30.506,1.7975467577098503e-13
309,0.32401971765908827,2.1305807,30.559,1.2710575051245315e-13
310,-16.435889330400116,1.8312021,30.681,2.6812986509902603e-13
311,0.42679088797583375,2.5286753,30.73,1.7112135005433599e-13
312,-19.84326040243516,1.5285382,30.803,5.8286519050598145
313,0.7032087929124958,4.5114913,30.938,1.1718570721002547e-13
314,-6.944129904047205,2.310666,31.024,5.30779504776001
315,0.4846426157406444,2.5680087,31.091,5.684341886080802e-14
316,0.3972052270286181,2.5887816,31.13,4.284789562225342
317,-6.701353333139337,2.261284,31.275,2.3437141442005094e-13
318,-16.2676405643808,2.5981667,31.335,2.428351844694504e-13
319,-9.739673504092856,2.0911984,31.382,2.842170943040401e-14
320,-6.743967211811771,1.8105744,31.52,6.83420991897583
321,0.6666962960135041,3.9247172,31.579,3.4952142238616943
322,-32.97168048923706,1.4030738,31.629,1.1368683772161603e-13
323,0.49149519430004385,3.517141,31.678,24.24420738220215
324,-7.775498203271719,4.8451247,31.83,5.57525110244751
325,0.48463259600622854,2.5722759,31.891,9.947598300641403e-14
326,-4.243033876517865,3.2297869,31.948,6.332204818725586
327,0.5418510462333981,2.9482517,32.08,7.015862464904785
328,-7.671078309779186,3.894059,32.154,4.263256414560601e-14
329,-19.71110944731002,1.9795623,32.215,2.049518595201999e-13
330,-19.83074031352996,1.6925968,32.334,2.5579538487363607e-13
331,-5.88435892063865,4.389295,32.404,7.1018500328063965
332,-3.689411563882073,4.679549,32.471,2.2737367544323206e-13
333,0.3183453819280349,2.1711328,32.518,4.161034107208252
334,-8.595013829652746,3.4154053,32.633,1.9895196601282805e-13
335,-6.106530819038414,2.976228,32.687,46.283233642578125
336,0.45808118844184026,2.1929784,32.744,4.838682651519775
337,0.5239386593027905,3.2755713,32.871,1.1368683772161603e-13
338,0.3957386975451585,3.2111428,32.915,2.842170943040401e-14
339,0.44450311346331367,2.7362213,32.963,5.684341886080802e-14
340,0.6708363842625749,4.2537084,33.039,3.53023362159729
341,-8.727710792209278,2.3194757,33.157,18.62146759033203
342,-29.74658437650554,1.2896984,33.212,1.1368683772161603e-13
343,-22.81767262972139,1.9453976,33.271,5.684341886080802e-14
344,0.503301476775774,2.2705529,33.411,6.886248588562012
345,-4.766970955440893,2.8801744,33.468,5.448241710662842
346,-5.913516290783729,2.2830977,33.577,134.65017700195312
347,-9.704612234973137,2.3817434,33.707,1.9328852754463277e-13
348,-2.3624170325819716,5.721544,33.809,6.617154121398926
349,1.3321176218330015,5.1956525,33.888,5.684341886080802e-14
350,0.47471264575381367,3.8805125,33.938,3.8045425415039062
351,0.7743386137140629,5.292096,34.075,6.960580348968506
352,-23.0360580446755,1.2070408,34.118,6.721973896026611
353,-5.556556276184541,2.9524078,34.204,8.944762229919434
354,-8.299320878430192,4.3248196,34.264,1.1718570721002547e-13
355,0.9324716172909288,4.912063,34.436,1.2710575051245315e-13
356,-10.844093229254089,2.208066,34.464,1.1368683772161603e-13
357,-4.680291372772951,3.7268312,34.52,40.12355422973633
358,-6.875168063845287,1.7782527,34.573,3.4838337726814106e-13
359,-7.759173185952686,3.2456558,34.706,1.607774650176294e-13
360,0.9950503408254224,5.274509,34.801,7.072004318237305
361,-7.602005635230039,4.0708346,34.85,1.1368683772161603e-13
362,0.7864248155819618,4.4601483,34.986,4.967555522918701
363,0.5292543945510527,3.214998,35.029,2.2737367544323206e-13
364,0.3616185801415081,3.1922581,35.064,1.607774650176294e-13
365,-21.0861340329908,1.7791466,35.198,6.862377166748047
366,-4.1917773112683845,5.313721,35.26,1.4210854715202004e-13
367,-5.590933667644481,1.958944,35.317,3.7779126167297363
368,0.4646929222690684,2.77624,35.359,5.684341886080802e-14
369,0.5322796095848811,3.9101527,35.516,4.114004135131836
370,-6.795285769755069,1.6445005,35.571,1.214175922347252e-13
371,0.5534161678074152,3.7445326,35.647,6.758101940155029
372,0.6335114287153442,2.1606734,35.782,7.1949968338012695
373,-7.734445143027269,3.01756,35.844,2.3437141442005094e-13
374,-20.73343390042349,1.2524678,36.055,1.7112135005433599e-13
375,0.5033593608971174,3.496198,36.202,5.837055206298828
376,0.8015325743883186,4.509399,36.261,3.197442310920451e-14
377,0.38226452274007827,2.9174416,36.298,5.788329601287842
378,1.2404561810386112,5.8620434,36.369,2.842170943040401e-14
379,-7.021724838009017,4.5868254,36.495,1.607774650176294e-13
380,-7.4265161522613425,1.6622622,36.545,3.552713678800501e-13
381,0.38175096112831813,2.2927516,36.598,5.0915303230285645
382,0.40549188509913053,2.639476,36.638,20.384593963623047
383,-8.624991621619088,2.8532312,36.769,1.1718570721002547e-13
384,-4.586750356331368,3.9097366,36.832,6.665582180023193
385,0.41395532357956266,2.196449,36.878,1.5106346078555544e-13
386,0.4076795456326165,2.8141706,37.004,5.108577728271484
387,-5.296506629330015,2.252602,37.072,1.214175922347252e-13
388,-6.2026674127583625,2.5970628,37.129,5.684341886080802e-14
