frame,game_cnt,time,v,ey,ephi,s,reward,reward_component0,reward_component1,reward_component2
1860,210,557.56,14.327272727272739,1.3255223967960728,0.1263285870644273,19.793163628785198,-0.08808923670544147,-0.08429937909350865,-0.0037898576119328184,0
1872,210,557.63,15.52727272727274,1.8912056669263595,0.09339068008841434,26.506601527294183,-0.1251069591973717,-0.12207780793395243,-0.003029151263419263,0
1884,210,557.71,15.563636363636377,2.1090117997442417,0.005539281780093219,33.148450839094366,-0.1392289865880342,-0.1388356102972875,-0.000393376290746712,0
1896,210,557.78,16.218181818181833,1.9297413892469943,-0.08713287691095717,33.148450839094366,-0.12721450718035557,-0.12967771002990017,0.00246320284954459,0
1908,210,557.86,17.272727272727288,1.3758575458889333,-0.14501581561848287,39.64855094951011,-0.0908491691720608,-0.09519964364061528,0.004350474468554486,0
1920,210,557.93,17.309090909090923,0.5378863771689643,-0.23240683945289753,45.95946569246512,-0.03555797354755781,-0.042679138808183074,0.00712116526062526,0
1932,210,558.0,16.94545454545456,-0.5891083540423119,-0.1950817535845366,52.07307743731761,0.038962737608527906,0.03318506283155225,0.005777674776975652,0
1944,210,558.08,16.981818181818195,-2.3531588085581707,-0.3466807867677497,58.041638563373915,0.15561885908461193,0.14521843548157942,0.010400423603032491,0
1956,210,558.15,17.96363636363638,-4.852275842377928,-0.5200400331302846,63.99193678917006,20.320229654724066,0.3047025815361129,0.015527073187953433,20
1968,211,558.27,0.0,-0.017454459778206203,-0.06170178517817915,7.703378705833963e-14,0.0030277006323993004,0.001087996030427899,0.0019397046019714013,0
1980,211,558.35,0.5090909090909093,-0.12605816865481045,-0.07639962291533342,7.703378705833963e-14,0.009715866448934329,0.007423877761474326,0.0022919886874600026,0
1992,211,558.43,0.29090909090909084,-0.26083251685804015,-0.08815451175908873,7.703378705833963e-14,0.01943604174565418,0.016703002777406353,0.002733038968247827,0
2004,211,558.51,0.6181818181818184,-0.40822023547843617,-0.09695035965885435,7.703378705833963e-14,0.02867507208475296,0.025854648806950663,0.0028204232778022975,0
2016,211,558.59,0.581818181818182,-0.5875480315737421,-0.14984886631706162,7.703378705833963e-14,0.041898364262730976,0.03775547429159164,0.00414288997113934,0
2028,211,558.66,0.9818181818181819,-0.7809157807259256,-0.17630589031324062,7.703378705833963e-14,0.0552332378309338,0.04994406112153658,0.0052891767093972185,0
2040,211,558.74,1.454545454545455,-1.1266382314810597,-0.15587587935248637,7.703378705833963e-14,0.07684250391466876,0.07199143283589035,0.0048510710787784145,0
2052,211,558.82,1.8545454545454554,-1.6521754495310872,-0.14132845791746185,7.703378705833963e-14,0.11006049409337731,0.10590762202223702,0.004152872071140297,0
2064,211,558.89,2.4000000000000012,-2.310385287672031,-0.16449089744956158,7.703378705833963e-14,0.15338925477518622,0.14845452785169938,0.004934726923486847,0
2076,211,558.96,4.2545454545454575,-0.2254624335005969,-0.05664528955104453,6.468711097034316,40.21642085490282,0.21225773041034152,0.004163124492481938,40
2088,211,559.03,5.018181818181822,-0.3034127630886144,-0.05099189557098782,6.468711097034316,0.02110809602035294,0.019578339153223306,0.0015297568671296345,0
2100,211,559.11,4.618181818181822,-0.41547551181982506,-0.07618132352944196,6.468711097034316,0.02913967438008334,0.0267698998443744,0.0023697745357089415,0
2112,211,559.18,4.109090909090912,-0.4034521406346755,0.027874890291002874,6.468711097034316,0.025928754466738008,0.02684985240685413,-0.0009210979401161223,0
2124,211,559.25,3.6000000000000023,-0.3701522161317493,0.02787923166298034,6.468711097034316,0.023837586742308868,0.024588655393771308,-0.0007510686514624387,0
2136,211,559.32,4.909090909090913,-0.3138655662359509,0.061824866094802644,13.087892729268077,0.01943915376560726,0.02120962902720021,-0.0017704752615929518,0
2148,211,559.4,6.290909090909096,-0.1743238170455878,0.08412517148845389,13.087892729268077,0.009954027849633219,0.012394774283088142,-0.002440746433454923,0
2160,211,559.49,6.981818181818188,0.07588660450069507,0.13935797883936063,13.087892729268077,-0.007450810524926524,-0.003352493564062327,-0.004098316960864197,0
2172,211,559.57,7.200000000000006,0.38378733107783736,0.13661260653114216,19.793163628785187,19.97228000109388,-0.023621620710186968,-0.004098378195934264,20
